date,min-max,average_price
04 ม.ค. 2564,20 - 28,24.00 
05 ม.ค. 2564,20 - 28,24.00 
06 ม.ค. 2564,20 - 28,24.00 
07 ม.ค. 2564,20 - 25,22.50 
08 ม.ค. 2564,20 - 25,22.50 
11 ม.ค. 2564,20 - 25,22.50 
12 ม.ค. 2564,20 - 25,22.50 
13 ม.ค. 2564,20 - 25,22.50 
14 ม.ค. 2564,20 - 25,22.50 
15 ม.ค. 2564,20 - 25,22.50 
18 ม.ค. 2564,20 - 25,22.50 
19 ม.ค. 2564,20 - 25,22.50 
20 ม.ค. 2564,20 - 25,22.50 
21 ม.ค. 2564,15 - 20,17.50 
22 ม.ค. 2564,15 - 20,17.50 
25 ม.ค. 2564,12 - 15,13.50 
26 ม.ค. 2564,12 - 15,13.50 
27 ม.ค. 2564,12 - 15,13.50 
28 ม.ค. 2564,15 - 20,17.50 
29 ม.ค. 2564,15 - 20,17.50 
01 ก.พ. 2564,15 - 18,16.50 
02 ก.พ. 2564,15 - 18,16.50 
03 ก.พ. 2564,15 - 18,16.50 
04 ก.พ. 2564,15 - 18,16.50 
05 ก.พ. 2564,15 - 18,16.50 
08 ก.พ. 2564,15 - 18,16.50 
09 ก.พ. 2564,15 - 18,16.50 
10 ก.พ. 2564,15 - 18,16.50 
11 ก.พ. 2564,15 - 18,16.50 
15 ก.พ. 2564,15 - 18,16.50 
16 ก.พ. 2564,15 - 18,16.50 
17 ก.พ. 2564,15 - 18,16.50 
18 ก.พ. 2564,15 - 18,16.50 
19 ก.พ. 2564,15 - 18,16.50 
22 ก.พ. 2564,30 - 35,32.50 
23 ก.พ. 2564,30 - 35,32.50 
24 ก.พ. 2564,25 - 30,27.50 
25 ก.พ. 2564,25 - 30,27.50 
01 มี.ค. 2564,28 - 30,29.00 
02 มี.ค. 2564,28 - 30,29.00 
03 มี.ค. 2564,28 - 30,29.00 
04 มี.ค. 2564,28 - 30,29.00 
05 มี.ค. 2564,28 - 30,29.00 
08 มี.ค. 2564,23 - 25,24.00 
09 มี.ค. 2564,23 - 25,24.00 
10 มี.ค. 2564,23 - 25,24.00 
11 มี.ค. 2564,28 - 30,29.00 
12 มี.ค. 2564,28 - 30,29.00 
15 มี.ค. 2564,28 - 30,29.00 
16 มี.ค. 2564,28 - 30,29.00 
17 มี.ค. 2564,28 - 30,29.00 
18 มี.ค. 2564,28 - 30,29.00 
19 มี.ค. 2564,28 - 30,29.00 
22 มี.ค. 2564,32 - 35,33.50 
23 มี.ค. 2564,36 - 40,38.00 
24 มี.ค. 2564,36 - 40,38.00 
25 มี.ค. 2564,36 - 40,38.00 
26 มี.ค. 2564,36 - 40,38.00 
29 มี.ค. 2564,36 - 40,38.00 
30 มี.ค. 2564,36 - 40,38.00 
31 มี.ค. 2564,36 - 40,38.00 
01 เม.ย. 2564,36 - 40,38.00 
02 เม.ย. 2564,36 - 40,38.00 
05 เม.ย. 2564,36 - 40,38.00 
07 เม.ย. 2564,36 - 40,38.00 
08 เม.ย. 2564,32 - 35,33.50 
09 เม.ย. 2564,32 - 35,33.50 
16 เม.ย. 2564,36 - 40,38.00 
19 เม.ย. 2564,36 - 40,38.00 
20 เม.ย. 2564,36 - 40,38.00 
21 เม.ย. 2564,36 - 40,38.00 
22 เม.ย. 2564,30 - 35,32.50 
23 เม.ย. 2564,30 - 35,32.50 
26 เม.ย. 2564,30 - 35,32.50 
27 เม.ย. 2564,30 - 35,32.50 
28 เม.ย. 2564,30 - 35,32.50 
29 เม.ย. 2564,25 - 30,27.50 
30 เม.ย. 2564,25 - 30,27.50 
03 พ.ค. 2564,25 - 30,27.50 
05 พ.ค. 2564,22 - 25,23.50 
06 พ.ค. 2564,22 - 25,23.50 
07 พ.ค. 2564,28 - 30,29.00 
11 พ.ค. 2564,28 - 30,29.00 
12 พ.ค. 2564,28 - 30,29.00 
13 พ.ค. 2564,24 - 25,24.50 
14 พ.ค. 2564,24 - 25,24.50 
17 พ.ค. 2564,24 - 25,24.50 
18 พ.ค. 2564,24 - 25,24.50 
