,IMEX,YR,MONTH_C,VALUE
0,นำเข้า,2564,03,48744769227
1,ส่งออก,2564,03,118834182164
2,ส่งออก,2564,02,104804551655
3,นำเข้า,2564,02,46856919653
4,ส่งออก,2564,01,97905237144
5,นำเข้า,2564,01,41420475898
6,ส่งออก,2563,12,102219299484
7,นำเข้า,2563,12,47177167536
8,ส่งออก,2563,11,104835811774
9,นำเข้า,2563,11,43320026657
10,นำเข้า,2563,10,44085386871
11,ส่งออก,2563,10,102294486598
12,นำเข้า,2563,09,43088044966
13,ส่งออก,2563,09,106287115336
14,นำเข้า,2563,08,41003956461
15,ส่งออก,2563,08,104048046881
16,นำเข้า,2563,07,41007271646
17,ส่งออก,2563,07,100961649243
18,ส่งออก,2563,06,100152062667
19,นำเข้า,2563,06,41566902179
20,นำเข้า,2563,05,43062200036
21,ส่งออก,2563,05,125809571499
22,ส่งออก,2563,04,127749521865
23,นำเข้า,2563,04,43920443197
24,นำเข้า,2563,03,46660199665
25,ส่งออก,2563,03,117287632985
26,ส่งออก,2563,02,100606862366
27,นำเข้า,2563,02,39699380965
28,ส่งออก,2563,01,96565985473
29,นำเข้า,2563,01,47824146528
30,ส่งออก,2562,12,101912122134
31,นำเข้า,2562,12,43924986881
32,ส่งออก,2562,11,106615178786
33,นำเข้า,2562,11,40733136264
34,นำเข้า,2562,10,41062454393
35,ส่งออก,2562,10,110025770474
36,นำเข้า,2562,09,38461979807
37,ส่งออก,2562,09,101271236851
38,นำเข้า,2562,08,40499719716
39,ส่งออก,2562,08,115372686893
40,นำเข้า,2562,07,41444502143
41,ส่งออก,2562,07,109849819390
42,ส่งออก,2562,06,104236044988
43,นำเข้า,2562,06,39896744205
44,นำเข้า,2562,05,47425676102
45,ส่งออก,2562,05,118257354294
46,ส่งออก,2562,04,117303773788
47,นำเข้า,2562,04,45686849398
48,นำเข้า,2562,03,39243446132
49,ส่งออก,2562,03,116953397372
50,ส่งออก,2562,02,106398551439
51,นำเข้า,2562,02,37659006760
52,ส่งออก,2562,01,109730776869
53,นำเข้า,2562,01,54865544233
54,ส่งออก,2561,12,113410443478
55,นำเข้า,2561,12,41668100366
56,ส่งออก,2561,11,118607392305
57,นำเข้า,2561,11,45199701016
58,นำเข้า,2561,10,43574347992
59,ส่งออก,2561,10,122231987800
60,นำเข้า,2561,09,42610861314
61,ส่งออก,2561,09,111576015571
62,นำเข้า,2561,08,47248505364
63,ส่งออก,2561,08,131302850068
64,นำเข้า,2561,07,36232537032
65,ส่งออก,2561,07,116532315624
66,นำเข้า,2561,06,39474629099
67,ส่งออก,2561,06,119727365056
68,นำเข้า,2561,05,47017285099
69,ส่งออก,2561,05,122209510884
70,ส่งออก,2561,04,115905721041
71,นำเข้า,2561,04,42908739833
72,ส่งออก,2561,03,113245102925
73,นำเข้า,2561,03,44684415368
74,นำเข้า,2561,02,39948678097
75,ส่งออก,2561,02,107429785918
76,นำเข้า,2561,01,44124814077
77,ส่งออก,2561,01,114196784614
78,นำเข้า,2560,12,40060966312
79,ส่งออก,2560,12,119686647338
80,ส่งออก,2560,11,130767326941
81,นำเข้า,2560,11,45019507700
82,นำเข้า,2560,10,41248010528
83,ส่งออก,2560,10,112613694825
84,ส่งออก,2560,09,114245011301
85,นำเข้า,2560,09,38593547114
86,ส่งออก,2560,08,125698022873
87,นำเข้า,2560,08,41737727512
88,นำเข้า,2560,07,40710702304
89,ส่งออก,2560,07,115595889873
90,ส่งออก,2560,06,118130340177
91,นำเข้า,2560,06,44032252192
92,นำเข้า,2560,05,47670258064
93,ส่งออก,2560,05,127431520527
94,นำเข้า,2560,04,40320869205
95,ส่งออก,2560,04,113521326049
96,ส่งออก,2560,03,134902158099
97,นำเข้า,2560,03,47106921530
98,นำเข้า,2560,02,40023991453
99,ส่งออก,2560,02,116436863551
100,นำเข้า,2560,01,42377986390
101,ส่งออก,2560,01,106150759883
102,นำเข้า,2559,12,45104350466
103,ส่งออก,2559,12,116449811416
104,นำเข้า,2559,11,42065502540
105,ส่งออก,2559,11,112428012524
106,นำเข้า,2559,10,42330149334
107,ส่งออก,2559,10,102031007785
108,นำเข้า,2559,09,42901162069
109,ส่งออก,2559,09,102854067649
110,นำเข้า,2559,08,41617612531
111,ส่งออก,2559,08,102294675154
112,นำเข้า,2559,07,37696176945
113,ส่งออก,2559,07,91603481734
114,นำเข้า,2559,06,40669778320
115,ส่งออก,2559,06,103647225260
116,ส่งออก,2559,05,107181764555
117,นำเข้า,2559,05,40228031377
118,ส่งออก,2559,04,98015762604
119,นำเข้า,2559,04,41649087798
120,ส่งออก,2559,03,115727627943
121,นำเข้า,2559,03,43881400945
122,นำเข้า,2559,02,36231143886
123,ส่งออก,2559,02,100519402816
124,นำเข้า,2559,01,44297011371
125,ส่งออก,2559,01,96713443350
126,นำเข้า,2558,12,43072620224
127,ส่งออก,2558,12,109921129701
128,ส่งออก,2558,11,101338057384
129,นำเข้า,2558,11,37008344813
130,นำเข้า,2558,10,39380040590
131,ส่งออก,2558,10,112818866277
132,นำเข้า,2558,09,38043094197
133,ส่งออก,2558,09,103455087775
134,ส่งออก,2558,08,101497501711
135,นำเข้า,2558,08,39005730981
136,นำเข้า,2558,07,37855567540
137,ส่งออก,2558,07,103306407856
138,ส่งออก,2558,06,100513549379
139,นำเข้า,2558,06,37210437968
140,นำเข้า,2558,05,37424143208
141,ส่งออก,2558,05,106781358602
142,ส่งออก,2558,04,94942497600
143,นำเข้า,2558,04,42049653703
144,นำเข้า,2558,03,38407459982
145,ส่งออก,2558,03,105518349071
146,ส่งออก,2558,02,89258961081
147,นำเข้า,2558,02,35982235702
148,นำเข้า,2558,01,41294092666
149,ส่งออก,2558,01,91824097968
150,ส่งออก,2557,12,114750396337
151,นำเข้า,2557,12,36078579234
152,ส่งออก,2557,11,103098645208
153,นำเข้า,2557,11,37144671302
154,นำเข้า,2557,10,41639513244
155,ส่งออก,2557,10,118100774696
156,นำเข้า,2557,09,42776556204
157,ส่งออก,2557,09,107367199471
158,นำเข้า,2557,08,30998647755
159,ส่งออก,2557,08,106982286980
160,นำเข้า,2557,07,38518397263
161,ส่งออก,2557,07,111275863825
162,ส่งออก,2557,06,108030723732
163,นำเข้า,2557,06,31825539700
164,นำเข้า,2557,05,40323352301
165,ส่งออก,2557,05,110853867564
166,ส่งออก,2557,04,99042284271
167,นำเข้า,2557,04,36335511054
168,นำเข้า,2557,03,38113441148
169,ส่งออก,2557,03,111627201259
170,ส่งออก,2557,02,107990521002
171,นำเข้า,2557,02,32948867777
172,ส่งออก,2557,01,108589676941
173,นำเข้า,2557,01,41412097257
174,ส่งออก,2556,12,113917721076
175,นำเข้า,2556,12,36409945049
176,ส่งออก,2556,11,107780137728
177,นำเข้า,2556,11,35167505979
178,นำเข้า,2556,10,39307809359
179,ส่งออก,2556,10,113231001373
180,นำเข้า,2556,09,34006677967
181,ส่งออก,2556,09,102451112284
182,นำเข้า,2556,08,34086024931
183,ส่งออก,2556,08,102042702632
184,นำเข้า,2556,07,36439596003
185,ส่งออก,2556,07,104297588942
186,ส่งออก,2556,06,96392923001
187,นำเข้า,2556,06,36666765446
188,นำเข้า,2556,05,38802778093
189,ส่งออก,2556,05,103887242074
190,ส่งออก,2556,04,98863546265
191,นำเข้า,2556,04,34369210981
192,นำเข้า,2556,03,29347865802
193,ส่งออก,2556,03,113378834264
194,ส่งออก,2556,02,102327588649
195,นำเข้า,2556,02,29008686389
196,ส่งออก,2556,01,109774526811
197,นำเข้า,2556,01,48045893092
198,ส่งออก,2555,12,103788569238
199,นำเข้า,2555,12,33881981229
200,ส่งออก,2555,11,109890460624
201,นำเข้า,2555,11,41409611613
202,นำเข้า,2555,10,37657570986
203,ส่งออก,2555,10,114992461190
204,นำเข้า,2555,09,32010545405
205,ส่งออก,2555,09,99435691274
206,นำเข้า,2555,08,38627904210
207,ส่งออก,2555,08,115173596357
208,นำเข้า,2555,07,38272982719
209,ส่งออก,2555,07,115921586085
210,ส่งออก,2555,06,108153351503
211,นำเข้า,2555,06,34340516259
212,นำเข้า,2555,05,40738857033
213,ส่งออก,2555,05,129588067439
214,ส่งออก,2555,04,105683270874
215,นำเข้า,2555,04,31886557631
216,นำเข้า,2555,03,37640269236
217,ส่งออก,2555,03,114073607997
218,ส่งออก,2555,02,121951024207
219,นำเข้า,2555,02,33529143412
220,ส่งออก,2555,01,103284174352
