date,average_rainfall,average_temp,average_humidity
2021-01-01,0.7768934531450583,21.42,70.5
2021-01-02,0.5956015523932731,21.27,71.65
2021-01-03,2.3640362225097027,22.62,72.17
2021-01-04,1.2805194805194808,23.49,73.78
2021-01-05,6.369170984455956,24.64,73.84
2021-01-06,3.702975420439842,25.29,74.96
2021-01-07,0.9357702349869452,25.58,75.44
2021-01-08,0.2727037516170764,25.01,73.73
2021-01-09,0.6624516129032253,23.23,70.94
2021-01-10,1.1624195624195626,22.83,72.15
2021-01-11,0.5837837837837836,22.68,70.57
2021-01-12,0.2432989690721649,19.79,65.41
2021-01-13,0.1994845360824741,19.82,68.15
2021-01-14,0.0723514211886305,21.41,72.49
2021-01-15,0.067012987012987,22.78,73.4
2021-01-16,0.2391699092088197,23.66,74.44
2021-01-17,0.0825355756791721,24.11,72.6
2021-01-18,0.1002577319587629,22.49,68.25
2021-01-19,0.0306306306306306,21.21,70.38
2021-01-20,0.0377260981912144,22.01,71.07
2021-01-21,0.0211340206185566,22.76,71.11
2021-01-22,0.1498059508408797,23.6,70.99
2021-01-23,0.0813953488372093,24.34,70.96
2021-01-24,0.1703896103896104,25.07,72.48
2021-01-25,0.0702072538860103,25.61,73.4
2021-01-26,0.0917861799217731,25.71,72.96
2021-01-27,0.2213820078226858,25.97,73.33
2021-01-28,0.0853055916775032,26.45,72.74
2021-01-29,0.2300518134715025,25.55,69.95
2021-01-30,0.919844357976654,24.91,71.58
2021-01-31,0.2002597402597401,25.02,72.21
2021-02-01,0.2444444444444444,25.61,71.67
2021-02-02,0.0475324675324675,26.01,70.52
2021-02-03,0.106111833550065,25.9,69.42
2021-02-04,0.0245795601552393,25.4,68.34
2021-02-05,0.0378865979381443,25.37,68.74
2021-02-06,0.0579560155239327,25.65,68.89
2021-02-07,0.693523316062176,26.04,70.44
2021-02-08,6.617829457364341,25.63,76.83
2021-02-09,5.13832258064516,24.07,81.43
2021-02-10,0.1540051679586565,24.15,74.8
2021-02-11,0.122680412371134,24.37,70.91
2021-02-12,0.1601542416452442,24.91,69.9
2021-02-13,0.0308087291399229,25.36,70.04
2021-02-14,0.0265463917525773,25.73,70.42
2021-02-15,0.0283505154639175,25.97,70.37
2021-02-16,0.0633204633204633,26.35,71.87
2021-02-17,0.0990990990990991,26.44,71.6
2021-02-18,0.0876288659793814,25.81,67.37
2021-02-19,0.0910025706940874,25.01,66.53
2021-02-20,0.0952258064516129,25.0,67.02
2021-02-21,0.0858974358974359,25.36,68.1
2021-02-22,0.0568854568854569,26.09,68.35
2021-02-23,0.0772200772200772,26.61,69.64
2021-02-24,0.0677002583979328,27.23,70.05
2021-02-25,0.0571428571428571,27.95,67.62
2021-02-26,0.0296010296010295,27.59,64.26
2021-02-27,0.0656370656370656,27.17,65.0
2021-02-28,0.1117117117117117,27.14,68.05
2021-03-01,0.1613899613899614,27.5,69.57
2021-03-02,0.4332046332046328,27.96,69.9
2021-03-03,4.478451612903225,27.31,75.27
2021-03-04,0.4900900900900896,27.97,75.91
2021-03-05,1.4187660668380468,28.52,72.37
2021-03-06,0.7066838046272489,28.12,70.67
2021-03-07,1.153470437017996,27.97,70.29
2021-03-08,0.9183568677792048,27.17,73.25
2021-03-09,0.6882051282051276,27.54,72.45
2021-03-10,0.6277634961439582,27.77,71.69
2021-03-11,0.232904884318766,28.21,71.33
2021-03-12,0.7160462130937101,28.38,71.46
2021-03-13,0.1244215938303341,28.34,71.2
2021-03-14,0.3568677792041076,28.21,71.79
2021-03-15,0.1543814432989691,28.71,71.69
2021-03-16,0.2074646074646073,28.93,71.51
2021-03-17,0.1884318766066837,29.1,71.67
2021-03-18,0.1119691119691119,29.53,71.15
2021-03-19,0.0473616473616473,29.98,70.42
2021-03-20,0.1211340206185567,30.26,69.81
2021-03-21,2.285012919896642,30.13,70.66
2021-03-22,0.9267352185089974,27.88,72.17
2021-03-23,1.2434782608695656,27.82,67.53
2021-03-24,2.3298335467349567,28.57,69.03
2021-03-25,0.2681177976952622,29.46,69.76
2021-03-26,2.021510883482716,29.73,71.55
2021-03-27,0.4216836734693875,30.11,71.21
2021-03-28,3.457544757033249,30.27,70.6
2021-03-29,1.1982142857142868,30.45,69.08
2021-03-30,1.2779054916985952,30.08,68.95
2021-03-31,0.9758269720101784,30.18,68.18
2021-04-01,1.5111959287531818,30.41,68.12
2021-04-02,1.1609137055837566,30.33,69.15
2021-04-03,4.861343472750316,30.25,71.77
2021-04-04,10.891878172588829,26.72,84.35
2021-04-05,7.83710292249046,26.64,83.97
2021-04-06,7.712294043092523,26.65,82.91
2021-04-07,3.4060377358490586,27.48,79.2
2021-04-08,1.1335012594458451,28.67,76.23
2021-04-09,1.985408805031448,28.79,75.85
2021-04-10,2.9562264150943407,28.75,76.08
2021-04-11,2.488553459119497,28.75,76.89
2021-04-12,2.755220125786166,28.89,76.84
2021-04-13,3.653701380175664,28.93,76.84
2021-04-14,5.49209535759096,28.24,78.35
2021-04-15,0.9551637279596976,28.84,75.34
2021-04-16,5.837074401008823,28.8,77.04
2021-04-17,5.313784461152879,28.19,80.02
2021-04-18,6.993984962406001,27.96,81.13
2021-04-19,2.9332496863237143,28.01,80.38
2021-04-20,1.750626566416042,29.02,77.41
2021-04-21,1.3143929912390488,29.65,76.43
2021-04-22,1.900000000000002,29.98,75.92
2021-04-23,2.465331664580728,30.14,75.48
2021-04-24,1.673525721455459,30.36,74.91
2021-04-25,4.087578419071513,30.16,75.81
2021-04-26,8.195728643216059,28.96,78.11
2021-04-27,5.685390428211581,26.93,84.71
2021-04-28,9.750753768844213,27.6,83.2
2021-04-29,9.345477386934665,26.75,85.62
2021-04-30,4.82085427135678,27.41,83.27
2021-05-01,3.776913425345039,27.75,83.41
2021-05-02,4.196992481203007,28.48,81.56
2021-05-03,0.9155388471177948,29.44,77.93
2021-05-04,2.202756892230579,30.19,76.17
2021-05-05,4.872180451127815,29.91,75.76
2021-05-06,7.114824120603,27.49,82.17
2021-05-07,1.6175658720200774,28.59,79.16
2021-05-08,5.455276381909536,28.96,78.96
2021-05-09,0.6914572864321611,29.07,78.31
2021-05-10,1.2075471698113214,29.97,76.53
2021-05-11,2.1104665825977325,30.34,75.84
2021-05-12,1.994962216624688,30.63,75.17
2021-05-13,2.0494325346784383,30.6,75.27
2021-05-14,1.6002518891687676,30.8,75.13
2021-05-15,2.7314861460957203,30.62,76.44
2021-05-16,1.997477931904163,30.57,76.62
2021-05-17,2.5159748427672977,30.91,75.75
2021-05-18,2.6027672955974857,30.45,77.85
2021-05-19,3.890428211586901,30.35,77.3
2021-05-20,1.3490542244640609,30.42,76.61
2021-05-21,2.94981084489281,30.66,75.5
2021-05-22,2.521717171717172,30.63,74.32
2021-05-23,1.7947169811320771,31.03,71.8
2021-05-24,8.603778337531484,30.5,73.33
2021-05-25,5.341235813366954,28.69,80.59
2021-05-26,4.328877679697354,28.97,80.49
2021-05-27,9.837783375314851,29.03,80.45
2021-05-28,5.069182389937102,28.32,84.25
2021-05-29,2.7339195979899533,29.2,81.35
2021-05-30,1.5580000000000007,29.8,78.98
2021-05-31,1.3855000000000004,30.52,76.64
2021-06-01,1.4511221945137154,31.08,74.66
2021-06-02,1.474221668742217,31.33,73.8
2021-06-03,1.982793017456359,31.38,73.95
2021-06-04,5.287671232876709,31.02,74.8
2021-06-05,4.784059775840596,29.85,77.16
2021-06-06,6.17185554171855,29.3,78.16
2021-06-07,5.240099626400992,28.58,80.6
2021-06-08,6.87198007471979,28.4,81.19
2021-06-09,7.373848069738473,27.86,83.46
2021-06-10,4.793266832917706,27.43,83.73
2021-06-11,4.541220423412202,28.02,81.32
2021-06-12,4.108955223880595,27.74,82.12
2021-06-13,9.147329192546566,27.09,84.81
2021-06-14,4.803980099502484,27.22,84.58
2021-06-15,2.8260545905707217,27.67,83.32
2021-06-16,3.914782608695646,28.22,81.54
2021-06-17,2.9329192546583864,28.56,80.02
2021-06-18,1.3176616915422883,29.41,76.3
2021-06-19,2.8909090909090875,29.84,74.42
2021-06-20,3.466251556662518,30.13,73.45
2021-06-21,1.0495641344956423,30.07,73.66
2021-06-22,2.068329177057357,29.92,74.56
2021-06-23,2.9593516209476327,29.38,76.16
2021-06-24,2.4180225281602032,29.29,76.0
2021-06-25,1.9879245283018887,29.17,76.26
2021-06-26,1.9527638190954804,29.34,77.97
2021-06-27,6.444221105527626,29.36,78.51
2021-06-28,5.820828105395222,28.12,82.11
2021-06-29,2.5790668348045416,28.82,79.41
2021-06-30,3.095707070707071,29.03,78.14
2021-07-01,3.202522068095837,29.3,77.07
2021-07-02,1.573115577889448,29.41,77.33
2021-07-03,1.202015113350126,30.03,74.86
2021-07-04,1.5869017632241815,30.77,73.17
2021-07-05,3.767506297229214,30.72,74.23
2021-07-06,8.521662468513851,28.21,82.25
2021-07-07,8.637878787878785,28.11,82.85
2021-07-08,11.557682619647345,27.52,85.11
2021-07-09,14.21511335012594,27.32,86.44
2021-07-10,14.23320754716979,27.04,87.31
2021-07-11,3.2070440251572347,27.63,85.8
2021-07-12,3.233417085427135,28.47,82.62
2021-07-13,3.193198992443323,29.0,80.69
2021-07-14,8.584654088050307,28.34,83.29
2021-07-15,9.449559748427658,27.44,85.17
2021-07-16,2.566834170854274,28.2,83.05
2021-07-17,2.977861635220125,29.05,80.47
2021-07-18,3.260050251256279,28.69,80.82
2021-07-19,4.402010050251258,27.8,81.97
2021-07-20,3.724652338811623,27.86,82.13
2021-07-21,2.280808080808084,28.19,82.02
2021-07-22,4.280808080808082,28.49,81.72
2021-07-23,4.037626262626259,27.54,85.07
2021-07-24,10.249557522123888,26.93,88.1
2021-07-25,6.016940581542348,26.89,87.0
2021-07-26,2.9397225725094547,27.81,83.24
2021-07-27,2.341919191919197,28.41,81.53
2021-07-28,3.006826801517066,28.37,82.91
2021-07-29,6.333501896333746,28.9,81.06
2021-07-30,3.3696969696969648,28.93,80.63
2021-07-31,4.090265486725663,28.97,80.54
